S. No.,Wine,Vintage,Varietal,Type,Country,Region,User Rating,Body,Price,Sweetness,Morrisons'
149,"Chablis, Samuel Billaud",2010,Chardonnay,White,France,Burgundy,87,E,14.95,2,N
150,"Gewurztraminer Gesetz, Domaine Lucas & André Rieffel",2010,Gewürztraminer ,White,France,Alsace,85,B,15.95,4,N
151,"Anthonij Rupert, Protea Chenin Blanc, South Africa",2010,Chenin Blanc,White,South Africa,Swartland,74,C,8.8,2,N
152,"Grüner Veltliner, Leicht und Trocken, Willi Bründlmayer, Austria",2011,Grüner Veltliner,White,Austria,Kamptal,84,A,14.95,2,N
153,"Klein Constantia, Vin de Constance, Constantia, South Africa",2006,Muscat,White,South Africa,Cape Valley,82,D,11,8,N
154,"Pinot Gris A360P, Domaine André Ostertag",2009,Pinot Gris,White,France,Alsace,85,C,40,2,N
155,"Zeltinger Himmelreich Riesling Kabinett Halbtrocken, Selbach-Oster",2010,Riesling,White,Germany,Mosel,86,A,14.95,3,N
156,"Ostler Blue House Riesling, Waitaki River, Otago (Stelvin)",2009,Riesling,White,New Zealand,Waitaki Valley,87,C,16.95,2,N
157,"Ch. La Garde, (Blanc) Pessac-Léognan",2010,Sauvignon Blanc,White,France,Bordeaux,88,C,23.5,2,N
158,"Berrys' Chilean Sauvignon Blanc Viña Quintay, Casablanca Valley",2011,Sauvignon Blanc,White,Chile,Casablanca Valley,84,B,7.95,2,N
159,"Ch. Doisy-Védrines, Barsac",2011,Sémillon-Sauvignon Blanc Blend,White,France,Bordeaux,88,E,17,8,N
160,"Le 'G' de Chateau Guiraud, Bordeaux",2010,Sémillon-Sauvignon Blanc Blend,White,France,Bordeaux,86,D,13.25,2,N
161,"Sercial, 10 yr old, Vinhos Barbeito",NV,Sercial,White - Fortified,Portugal,Madeira,81,E,29.95,2,N
162,Sercial Frasqueira,1988,Sercial,White - Fortified,Portugal,Madeira,83,B,65,2,N
163,Berrys' Fino Jerez,NV,Palomino Fino,White - Fortified,Spain,Andalusia,81,B,9.75,2,N
164,"East India Solera, Emilio Lustau",NV,Palomino Fino,White - Fortified,Spain,Andalusia,84,E,16.65,9,N
165,"Emilín Moscatel, Solera Reserva, Emilio Lustau",NV,Muscat,White - Fortified,Spain,Andalusia,86,D,18.35,9,N
166,"Pedro Ximénez, San Emilio, Solera Reserva, Emilio Lustau",NV,Pedro Ximénez,White - Fortified,Spain,Andalusia,86.5,C,20.4,9,N
167,"Ch. Coutet, Barsac",1998,Sémillon-Sauvignon Blanc Blend,White - Sweet/Desert,France,Bordeaux,89,D,19.75,9,N
168,"Elderton, Botrytis Semillon Stelvin",2008,Sémillon,White - Sweet/Desert,Australia,South Australia,85,C,11.75,9,N
169,"Quarts de Chaume, Domaine des Forges",2009,Chenin Blanc,White - Sweet/Desert,France,Loire Valley,86,E,34.5,9,N
170,"Gewurztraminer Clos Windsbuhl, Domaine Zind Humbrecht",2009,Gewürztraminer ,White - Sweet/Desert,France,Alsace,91,E,38.95,8,N
171,"Barbera d'Alba, Cascina Fontana, Piedmont",2009,Barbera,Red,Italy,Piedmont,84,D,16.5,2,N
172,"Blaufränkisch, Burgenland, Moric",2009,Blaufränkisch,Red,Austria,Burgenland,89,D,19.95,2,N
173,"Cabernet Franc, Oldenburg Vineyards Stellenbosch, South Africa",2009,Cabernet Franc,Red,South Africa,Stellenbosch,87,D,22.75,2,N
174,"Solaia, Marchesi Piero Antinori",2008,Cabernet Sauvignon,Red,Italy,Tuscany,92,D,188,2,N
